id,name_x,reason,score,best_candidate,PostOrt,name_y,website,location_city,location_country
2168,holminnovation,no_candidates,,,,holminnovation,,,Sweden
2171,Bouvier Advisory,no_candidates,,,,Bouvier Advisory,,,Sweden
2176,Fatih Celik,no_candidates,,,,Fatih Celik,,,Sweden
2185,Bonito Foundation,no_candidates,,,,Bonito Foundation,https://bonito.football,,Sweden
2188,Registered Documents Europe,no_candidates,,,,Registered Documents Europe,,,Sweden
2201,DecKid,no_candidates,,,,DecKid,,,Sweden
2202,Nimble & Co,no_candidates,,,,Nimble & Co,https://www.wearenimble.se/,,Sweden
2209,Objectways Technologies,no_candidates,,,,Objectways Technologies,https://objectways.com,,Sweden
2211,Gordon & Frost,no_candidates,,,,Gordon & Frost,https://www.gordonandfrost.com/,,Sweden
2218,Mitigate AI Services,no_candidates,,,,Mitigate AI Services,,,Sweden
2231,IQ Shift,no_candidates,,,,IQ Shift,https://www.iq-shift.com,,Sweden
2237,Lion AI Box,no_candidates,,,,Lion AI Box,https://www.lionaibox.com/,,Sweden
2240,Atlas Research,no_candidates,,,,Atlas Research,https://atlasresearch.se,,Sweden
2241,Optimus Fintech Inc,no_candidates,,,,Optimus Fintech Inc,https://optimus.tech/,,Sweden
2242,TyTo AI,no_candidates,,,,TyTo AI,https://tyto.se/,,Sweden
2255,Sazinga Digital Services Pvt Ltd,no_candidates,,,,Sazinga Digital Services Pvt Ltd,https://sazinga.com/,,Sweden
2261,SCD Information Technologies,no_candidates,,,,SCD Information Technologies,https://scd-company.com/,,Sweden
2268,Prosp3r,no_candidates,,,,Prosp3r,https://prosp3r.se/,,Sweden
2269,s-AI-les,no_candidates,,,,s-AI-les,https://s-ai-les.ai/,,Sweden
2270,AI&I,no_candidates,,,,AI&I,http://www.aiandi.biz,,Sweden
2275,HumanTechConnect,no_candidates,,,,HumanTechConnect,https://humantechconnect.se/,,Sweden
2284,Assessed Intelligence,no_candidates,,,,Assessed Intelligence,https://assessedintelligence.com/,,Sweden
2285,ForHumanity,no_candidates,,,,ForHumanity,https://forhumanity.center/,,Sweden
2287,PepperCatch,no_candidates,,,,PepperCatch,https://peppercatch.com/,,Sweden
2290,Millainen Consulting Oy,no_candidates,,,,Millainen Consulting Oy,https://www.millainen.fi/,,Sweden
2298,If Insurance,no_candidates,,,,If Insurance,,,Sweden
2302,Hälsokontroller och blodprover Stockholm | Nordic Wellth,no_candidates,,,,Hälsokontroller och blodprover Stockholm | Nordic Wellth,https://www.nordicwellth.com/sv/,,Sweden
2303,Opper AI,no_candidates,,,,Opper AI,https://opper.ai/,,Sweden
2304,Releev AI Labs,no_candidates,,,,Releev AI Labs,http://releevai.com,,Sweden
2305,Seasia Infotech,no_candidates,,,,Seasia Infotech,https://www.seasiainfotech.com/,,Sweden
2306,Make AI Easy - C2M AB,no_candidates,,,,Make AI Easy - C2M AB,https://aimakeeasy.co.uk/makeaieasy,,Sweden
2313,Fotanofe AB - For The Many Not The Few,no_candidates,,,,Fotanofe AB - For The Many Not The Few,https://www.fotanofe.se/mbl-2.0-med-pcm,,Sweden
2316,Toolverse AI,no_candidates,,,,Toolverse AI,,,Sweden
2318,AIxDesign AB,no_candidates,,,,AIxDesign AB,https://www.aixdesign.se,,Sweden
2320,Chatmoat,no_candidates,,,,Chatmoat,https://chatmoat.com,,Sweden
